,Id,Class
0,../data/source/fgvc/data\1025794.jpg,Boeing 707
1,../data/source/fgvc/data\1340192.jpg,Boeing 707
2,../data/source/fgvc/data\0056978.jpg,Boeing 707
3,../data/source/fgvc/data\0698580.jpg,Boeing 707
4,../data/source/fgvc/data\0450014.jpg,Boeing 707
5,../data/source/fgvc/data\1042824.jpg,Boeing 707
6,../data/source/fgvc/data\0894380.jpg,Boeing 707
7,../data/source/fgvc/data\1427680.jpg,Boeing 707
8,../data/source/fgvc/data\0817494.jpg,Boeing 707
9,../data/source/fgvc/data\0716386.jpg,Boeing 707
10,../data/source/fgvc/data\0951982.jpg,Boeing 707
11,../data/source/fgvc/data\0731614.jpg,Boeing 707
12,../data/source/fgvc/data\0582363.jpg,Boeing 707
13,../data/source/fgvc/data\1082409.jpg,Boeing 707
14,../data/source/fgvc/data\2031775.jpg,Boeing 707
15,../data/source/fgvc/data\0950991.jpg,Boeing 707
16,../data/source/fgvc/data\0869722.jpg,Boeing 707
17,../data/source/fgvc/data\0979376.jpg,Boeing 707
18,../data/source/fgvc/data\1002439.jpg,Boeing 707
19,../data/source/fgvc/data\0864665.jpg,Boeing 707
20,../data/source/fgvc/data\1207591.jpg,Boeing 707
21,../data/source/fgvc/data\0582372.jpg,Boeing 707
22,../data/source/fgvc/data\0729223.jpg,Boeing 707
23,../data/source/fgvc/data\1319365.jpg,Boeing 707
24,../data/source/fgvc/data\0548719.jpg,Boeing 707
25,../data/source/fgvc/data\0577855.jpg,Boeing 707
26,../data/source/fgvc/data\1423583.jpg,Boeing 707
27,../data/source/fgvc/data\1187431.jpg,Boeing 707
28,../data/source/fgvc/data\0610657.jpg,Boeing 707
29,../data/source/fgvc/data\0869742.jpg,Boeing 707
30,../data/source/fgvc/data\0687610.jpg,Boeing 707
31,../data/source/fgvc/data\1042021.jpg,Boeing 707
32,../data/source/fgvc/data\0482761.jpg,Boeing 707
33,../data/source/fgvc/data\0064933.jpg,Boeing 707
34,../data/source/fgvc/data\1019011.jpg,Boeing 727
35,../data/source/fgvc/data\0732456.jpg,Boeing 727
36,../data/source/fgvc/data\0218039.jpg,Boeing 727
37,../data/source/fgvc/data\2223757.jpg,Boeing 727
38,../data/source/fgvc/data\0983618.jpg,Boeing 727
39,../data/source/fgvc/data\1327285.jpg,Boeing 727
40,../data/source/fgvc/data\0065840.jpg,Boeing 727
41,../data/source/fgvc/data\0980196.jpg,Boeing 727
42,../data/source/fgvc/data\0995286.jpg,Boeing 727
43,../data/source/fgvc/data\1514487.jpg,Boeing 727
44,../data/source/fgvc/data\0213505.jpg,Boeing 727
45,../data/source/fgvc/data\1459191.jpg,Boeing 727
46,../data/source/fgvc/data\1063986.jpg,Boeing 727
47,../data/source/fgvc/data\0056337.jpg,Boeing 727
48,../data/source/fgvc/data\0409532.jpg,Boeing 727
49,../data/source/fgvc/data\0771164.jpg,Boeing 727
50,../data/source/fgvc/data\0632010.jpg,Boeing 727
51,../data/source/fgvc/data\0901504.jpg,Boeing 727
52,../data/source/fgvc/data\0063052.jpg,Boeing 727
53,../data/source/fgvc/data\0143080.jpg,Boeing 727
54,../data/source/fgvc/data\1089989.jpg,Boeing 727
55,../data/source/fgvc/data\0907359.jpg,Boeing 727
56,../data/source/fgvc/data\0875281.jpg,Boeing 727
57,../data/source/fgvc/data\1197395.jpg,Boeing 727
58,../data/source/fgvc/data\1149060.jpg,Boeing 727
59,../data/source/fgvc/data\1059846.jpg,Boeing 727
60,../data/source/fgvc/data\0786258.jpg,Boeing 727
